GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Biblioteca Pessoal,com.example.bibliotecapessoal.service,ExternalBookService,4,157,9,15,1,34,9,8,0,5
Biblioteca Pessoal,com.example.bibliotecapessoal.service,BookService,6,74,0,0,1,18,1,8,1,8
Biblioteca Pessoal,com.example.bibliotecapessoal.service,UserService,0,99,0,4,0,20,0,8,0,6
Biblioteca Pessoal,com.example.bibliotecapessoal.dto,UserResponse,0,22,0,0,0,2,0,2,0,2
Biblioteca Pessoal,com.example.bibliotecapessoal.dto,RegisterRequest,0,12,0,0,0,1,0,1,0,1
Biblioteca Pessoal,com.example.bibliotecapessoal.dto,BookSearchResult,0,21,0,0,0,1,0,1,0,1
Biblioteca Pessoal,com.example.bibliotecapessoal.dto,MessageResponse,0,6,0,0,0,1,0,1,0,1
Biblioteca Pessoal,com.example.bibliotecapessoal.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
Biblioteca Pessoal,com.example.bibliotecapessoal.dto,AuthResponse,0,9,0,0,0,1,0,1,0,1
Biblioteca Pessoal,com.example.bibliotecapessoal,BibliotecaPessoalApplication,5,3,0,0,2,1,1,1,1,1
Biblioteca Pessoal,com.example.bibliotecapessoal.security,JwtService,12,224,3,13,4,44,3,12,0,7
Biblioteca Pessoal,com.example.bibliotecapessoal.security,SecurityConfig,12,107,0,0,4,22,1,8,1,8
Biblioteca Pessoal,com.example.bibliotecapessoal.security,JwtAuthenticationFilter,0,75,1,5,0,21,1,6,0,4
Biblioteca Pessoal,com.example.bibliotecapessoal.exception,ApiExceptionHandler,31,45,2,2,6,9,5,4,3,4
Biblioteca Pessoal,com.example.bibliotecapessoal.controller,AuthController,0,28,0,0,0,7,0,5,0,5
Biblioteca Pessoal,com.example.bibliotecapessoal.controller,BookController,0,78,0,2,0,17,0,9,0,8
Biblioteca Pessoal,com.example.bibliotecapessoal.model,Book,0,89,0,0,0,36,0,18,0,18
Biblioteca Pessoal,com.example.bibliotecapessoal.model,User,3,47,0,0,2,20,1,11,1,11
Biblioteca Pessoal,com.example.bibliotecapessoal.model,StatusLeitura,0,21,0,0,0,4,0,1,0,1
